expo,table,project,sponsors,link,category,special
1,80,Depedantify,"Most Aesthetic/Well-Designed Hack, Best Social Good Hack, [Domain.com/MLH] Best Domain Registered with Domain.com, Best ML/AI hack, [Google Cloud Platform/MLH] Best use of Google Cloud Platform",https://hacktech2019.devpost.com/submissions/114907-depedantify,,
1,69,eBAI,"[eBay] Best Hack Using eBay APIs, Most Aesthetic/Well-Designed Hack, Best Social Good Hack, Best ML/AI hack, Best Mobile Hack, [Google Cloud Platform/MLH] Best use of Google Cloud Platform",https://hacktech2019.devpost.com/submissions/114909-ebai,,
1,75,Meminder,"Most Aesthetic/Well-Designed Hack, Best Social Good Hack, Best Mobile Hack",https://hacktech2019.devpost.com/submissions/114910-meminder,,
1,21,Codelingo,"Best Education Hack, Most Aesthetic/Well-Designed Hack, Best Social Good Hack, [Domain.com/MLH] Best Domain Registered with Domain.com",https://hacktech2019.devpost.com/submissions/114911-codelingo,,
1,79,VoteChain,"[Uber] Best Hack that Acts on the Physical World, Best Education Hack, Best Potato Hack, Best Social Good Hack, Best Mobile Hack",https://hacktech2019.devpost.com/submissions/114913-votechain,,
1,42,Potato or Not To Potatoe,"Best Potato Hack, Best Social Good Hack, [Domain.com/MLH] Best Domain Registered with Domain.com",https://hacktech2019.devpost.com/submissions/114914-potato-or-not-to-potatoe,,
1,43,DrBaymaxMini,"Best Social Good Hack, Best ML/AI hack, [Google Cloud Platform/MLH] Best use of Google Cloud Platform",https://hacktech2019.devpost.com/submissions/114915-drbaymaxmini,,
1,62,ColorBeats,"Best Hardware Hack, Best Game/Entertainment Hack",https://hacktech2019.devpost.com/submissions/114916-colorbeats,,
1,49,Berry Robot,"[Uber] Best Hack that Acts on the Physical World, Best Hardware Hack, Best Potato Hack",https://hacktech2019.devpost.com/submissions/114917-berry-robot,,
1,74,ActInIt,"[Uber] Best Hack that Acts on the Physical World, Best Social Good Hack, Best Mobile Hack, [Google Cloud Platform/MLH] Best use of Google Cloud Platform",https://hacktech2019.devpost.com/submissions/114918-actinit,,
1,51,SnaccAttacc,[Domain.com/MLH] Best Domain Registered with Domain.com,https://hacktech2019.devpost.com/submissions/114919-snaccattacc,,
1,59,Hella Lit,"Best Potato Hack, Most Aesthetic/Well-Designed Hack, Best ML/AI hack",https://hacktech2019.devpost.com/submissions/114920-hella-lit,,
1,8,SmartPrice,"[eBay] Best Hack Using eBay APIs, Most Aesthetic/Well-Designed Hack, Best Social Good Hack",https://hacktech2019.devpost.com/submissions/114923-smartprice,,
1,53,easyBay,"[eBay] Best Hack Using eBay APIs, [Uber] Best Hack that Acts on the Physical World, Most Aesthetic/Well-Designed Hack, Best ML/AI hack, Best Mobile Hack, [Google Cloud Platform/MLH] Best use of Google Cloud Platform",https://hacktech2019.devpost.com/submissions/114925-easybay,,
1,78,Run Right,"[Uber] Best Hack that Acts on the Physical World, Best Hardware Hack, Best Potato Hack, Best Social Good Hack, Best Mobile Hack",https://hacktech2019.devpost.com/submissions/114926-run-right,,
1,46,Pandora's Box,"[eBay] Best Hack Using eBay APIs, Best Potato Hack, Best Social Good Hack, [Google Cloud Platform/MLH] Best use of Google Cloud Platform",https://hacktech2019.devpost.com/submissions/114927-pandora-s-box,,
1,1,Safe City,"[Uber] Best Hack that Acts on the Physical World, Best Education Hack, Most Aesthetic/Well-Designed Hack, [Domain.com/MLH] Best Domain Registered with Domain.com",https://hacktech2019.devpost.com/submissions/114928-safe-city,,
1,39,Nonogram/Picross Solver,"Best Education Hack, Best ML/AI hack, Best Game/Entertainment Hack",https://hacktech2019.devpost.com/submissions/114929-nonogram-picross-solver,,
1,7,HealthClear,"[Snapchat/MLH] Best Use of SnapKit, Most Aesthetic/Well-Designed Hack, Best Social Good Hack, [Google Cloud Platform/MLH] Best use of Google Cloud Platform",https://hacktech2019.devpost.com/submissions/114930-healthclear,,
1,19,Echo-Chamber,,https://hacktech2019.devpost.com/submissions/114931-echo-chamber,,
1,72,Are We There Yet?,"[Uber] Best Hack that Acts on the Physical World, Best Potato Hack, Best Social Good Hack, Best Mobile Hack",https://hacktech2019.devpost.com/submissions/114932-are-we-there-yet,,
1,58,Welly,"Best Hardware Hack, Most Aesthetic/Well-Designed Hack, Best Social Good Hack, Best ML/AI hack, Best Mobile Hack",https://hacktech2019.devpost.com/submissions/114938-welly,,
1,32,CalCam,"Best Education Hack, Best Potato Hack, Best Social Good Hack, Best ML/AI hack, Best Mobile Hack",https://hacktech2019.devpost.com/submissions/114940-calcam,,
1,68,Auditor.io: Unleash Your Public Speaking Powers in VR,"Best Hardware Hack, Best Education Hack, Best Potato Hack, Best Social Good Hack, [Domain.com/MLH] Best Domain Registered with Domain.com, Best Game/Entertainment Hack, [Google Cloud Platform/MLH] Best use of Google Cloud Platform",https://hacktech2019.devpost.com/submissions/114941-auditor-io-unleash-your-public-speaking-powers-in-vr,,
1,36,Medmory ,"Best Potato Hack, Most Aesthetic/Well-Designed Hack, Best Social Good Hack, [Domain.com/MLH] Best Domain Registered with Domain.com, Best Mobile Hack, [Google Cloud Platform/MLH] Best use of Google Cloud Platform",https://hacktech2019.devpost.com/submissions/114946-medmory,,
1,29,Hash It,,https://hacktech2019.devpost.com/submissions/114952-hash-it,,
1,18,Interrobang,"Best ML/AI hack, [Google Cloud Platform/MLH] Best use of Google Cloud Platform",https://hacktech2019.devpost.com/submissions/114953-interrobang,,
1,3,Bust A Move,"Best ML/AI hack, Best Game/Entertainment Hack, Best Mobile Hack, [Google Cloud Platform/MLH] Best use of Google Cloud Platform",https://hacktech2019.devpost.com/submissions/114967-bust-a-move,,
